"REF_DATE","GEO","DGUID","Housing estimates","Type of unit","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1948-04","Alberta","2016A000248","Housing completions","Total units","Unadjusted","Units","300","units","0","v732328","12.3.1.1","1116","","","","0"
"1948-04","British Columbia","2016A000259","Housing starts","Total units","Unadjusted","Units","300","units","0","v730418","13.1.1.1","4133","","","","0"
"1948-04","British Columbia","2016A000259","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731383","13.2.1.1","8535","","","","0"
"1948-04","British Columbia","2016A000259","Housing completions","Total units","Unadjusted","Units","300","units","0","v732320","13.3.1.1","2354","","","","0"
"1948-07","Canada","2016A000011124","Housing starts","Total units","Unadjusted","Units","300","units","0","v730416","1.1.1.1","31348","","","","0"
"1948-07","Canada","2016A000011124","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731381","1.2.1.1","63656","","","","0"
"1948-07","Canada","2016A000011124","Housing completions","Total units","Unadjusted","Units","300","units","0","v732318","1.3.1.1","19710","","","","0"
"1948-07","Prince Edward Island","2016A000211","Housing starts","Total units","Unadjusted","Units","300","units","0","v730419","4.1.1.1","149","","","","0"
"1948-07","Prince Edward Island","2016A000211","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731384","4.2.1.1","279","","","","0"
"1948-07","Prince Edward Island","2016A000211","Housing completions","Total units","Unadjusted","Units","300","units","0","v732321","4.3.1.1","47","","","","0"
"1948-07","Nova Scotia","2016A000212","Housing starts","Total units","Unadjusted","Units","300","units","0","v730420","5.1.1.1","1352","","","","0"
"1948-07","Nova Scotia","2016A000212","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731385","5.2.1.1","3431","","","","0"
"1948-07","Nova Scotia","2016A000212","Housing completions","Total units","Unadjusted","Units","300","units","0","v732322","5.3.1.1","527","","","","0"
"1948-07","New Brunswick","2016A000213","Housing starts","Total units","Unadjusted","Units","300","units","0","v730421","6.1.1.1","863","","","","0"
"1948-07","New Brunswick","2016A000213","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731386","6.2.1.1","1612","","","","0"
"1948-07","New Brunswick","2016A000213","Housing completions","Total units","Unadjusted","Units","300","units","0","v732323","6.3.1.1","655","","","","0"
"1948-07","Quebec","2016A000224","Housing starts","Total units","Unadjusted","Units","300","units","0","v730422","7.1.1.1","7576","","","","0"
"1948-07","Quebec","2016A000224","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731387","7.2.1.1","14454","","","","0"
"1948-07","Quebec","2016A000224","Housing completions","Total units","Unadjusted","Units","300","units","0","v732324","7.3.1.1","6117","","","","0"
"1948-07","Ontario","2016A000235","Housing starts","Total units","Unadjusted","Units","300","units","0","v730423","8.1.1.1","10807","","","","0"
"1948-07","Ontario","2016A000235","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731388","8.2.1.1","22429","","","","0"
"1948-07","Ontario","2016A000235","Housing completions","Total units","Unadjusted","Units","300","units","0","v732325","8.3.1.1","6104","","","","0"
"1948-07","Manitoba","2016A000246","Housing starts","Total units","Unadjusted","Units","300","units","0","v730424","10.1.1.1","2090","","","","0"
"1948-07","Manitoba","2016A000246","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731389","10.2.1.1","3737","","","","0"
"1948-07","Manitoba","2016A000246","Housing completions","Total units","Unadjusted","Units","300","units","0","v732326","10.3.1.1","1135","","","","0"
"1948-07","Saskatchewan","2016A000247","Housing starts","Total units","Unadjusted","Units","300","units","0","v730425","11.1.1.1","1276","","","","0"
"1948-07","Saskatchewan","2016A000247","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731390","11.2.1.1","2395","","","","0"
"1948-07","Saskatchewan","2016A000247","Housing completions","Total units","Unadjusted","Units","300","units","0","v732327","11.3.1.1","609","","","","0"
"1948-07","Alberta","2016A000248","Housing starts","Total units","Unadjusted","Units","300","units","0","v730426","12.1.1.1","3863","","","","0"
"1948-07","Alberta","2016A000248","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731391","12.2.1.1","6735","","","","0"
"1948-07","Alberta","2016A000248","Housing completions","Total units","Unadjusted","Units","300","units","0","v732328","12.3.1.1","1189","","","","0"
"1948-07","British Columbia","2016A000259","Housing starts","Total units","Unadjusted","Units","300","units","0","v730418","13.1.1.1","3372","","","","0"
"1948-07","British Columbia","2016A000259","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731383","13.2.1.1","8584","","","","0"
"1948-07","British Columbia","2016A000259","Housing completions","Total units","Unadjusted","Units","300","units","0","v732320","13.3.1.1","3327","","","","0"
"1948-10","Canada","2016A000011124","Housing starts","Total units","Unadjusted","Units","300","units","0","v730416","1.1.1.1","19078","","","","0"
"1948-10","Canada","2016A000011124","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731381","1.2.1.1","56456","","","","0"
"1948-10","Canada","2016A000011124","Housing completions","Total units","Unadjusted","Units","300","units","0","v732318","1.3.1.1","25859","","","","0"
"1948-10","Prince Edward Island","2016A000211","Housing starts","Total units","Unadjusted","Units","300","units","0","v730419","4.1.1.1","11","","","","0"
"1948-10","Prince Edward Island","2016A000211","Housing under construction","Total units","Unadjusted","Units","300","units","0","v731384","4.2.1.1","203","","","","0"
"1948-10","Prince Edward Island","2016A000211","Housing completions","Total units","Unadjusted","Units","300","units","0","v732321","4.3.1.1","87","","","","0"
"1948-10","Nova Scotia","2016A000212","Housing starts","Total units","Unadjusted","Units","300","units","0","v730420","5.1.1.1","462","","","","0"
